surprisal	artpres	noun	verb	verbdeentr	denounentr	verbhetentr	hetnounentr	verbeenentr	eennounentr
9.731040185023259	NOART	rechtszaak	wacht	0.04180296	0.01152763	0.006546272	0.004755772	0.02248345	0.004190251
7.064558042903015	NOART	je	sleept	0.02409646	0.04036445	0.009941099	0.02510724	0.01568469	0.04618001
13.190588406087778	NOART	burgemeester	kan	0.05814253	0.0106813	0.05207544	0.004406613	0.03634285	0.003882612
14.164438193882528	NOART	freq1	wordt	0.05810907	0.02766631	0.04107589	0.01141385	0.03338612	0.0100566
9.421739143371267	NOART	freq1	stuurt	0.02396983	0.02766631	0.01770916	0.01141385	0.009661954	0.0100566
9.73338876257399	NOART	bemoeienis	wijst	0.04659776	0.01729145	0.0251646	0.007133657	0.006348581	0.006285376
8.701431617575231	NOART	je	vliegen	0.04208352	0.04036445	0.00460944	0.02510724	0.004061319	0.04618001
6.420908231721876	NOART	racisme	vermoedt	0.01998122	0.01164897	0.008243338	0.004805833	0.007263102	0.004234359
4.251533271025325	NOART	journalisten	freq1	0.02766631	0.01367415	0.01141385	0.005641329	0.0100566	0.004970504
11.006720740901923	NOART	hem	laten	0.02457367	0.03834953	0.01652087	0.01107327	0.005306203	0.03206041
8.719745963906188	NOART	claim	noemt	0.08599258	0.01910293	0.1102047	0.007880993	0.005875768	0.006943844
4.932880746848439	NOART	pols	breekt	0.01467439	0.01106653	0.006783004	0.004565541	0.01768471	0.004022641
12.35219077634165	NOART	freq1	mag	0.03070542	0.01844421	0.01840437	0.007609235	0.01615374	0.01117725
11.678328065546195	NOART	freq1	geeft	0.06526675	0.02420802	0.03657505	0.009987118	0.04163811	0.008799524
4.915320461722332	NOART	Arjen	ontvoerde	0.02447404	0.005187433	0.01009687	0.002140097	0.008896227	0.001885613
7.7680431062712	NOART	freq1	verdeelt	0.05166697	0.01545867	0.01508867	0.008348202	0.009182117	0.004399763
10.827618846910042	NOART	voorzitter	wil	0.03567796	0.01135468	0.02007738	0.004350186	0.01564678	0.003832894
15.94786260464628	ART	freq1	is	0.07368176	0.02766631	0.0629354	0.01141385	0.08628295	0.0100566
9.581604033178266	NOART	Rabobank	blijft	0.04805736	0.01567758	0.02625862	0.006467851	0.03500258	0.005698742
2.2441826332957815	NOART	hij	freq1	0.02766631	0.07774939	0.01141385	0.04168176	0.0100566	0.04233368
10.38686160428552	NOART	freq1	licht	0.01290443	0.01498592	0.005323777	0.006182504	0.004690713	0.005447326
4.573348016187107	NOART	woede	koelt	0.02213305	0.01081212	0.009131081	0.004460588	0.008045285	0.003930166
5.059632056931385	NOART	freq1	freq1	0.02766631	0.02553813	0.01141385	0.01053586	0.0100566	0.00928302
